Provinsi,2023
ACEH,0.296
SUMATERA UTARA,0.309
SUMATERA BARAT,0.28
RIAU,0.324
JAMBI,0.343
SUMATERA SELATAN,0.338
BENGKULU,0.333
LAMPUNG,0.324
KEP. BANGKA BELITUNG,0.245
KEP. RIAU,0.34
DKI JAKARTA,0.431
JAWA BARAT,0.425
JAWA TENGAH,0.369
DI YOGYAKARTA,0.449
JAWA TIMUR,0.387
BANTEN,0.368
BALI,0.362
NUSA TENGGARA BARAT,0.375
NUSA TENGGARA TIMUR,0.325
KALIMANTAN BARAT,0.321
KALIMANTAN TENGAH,0.317
KALIMANTAN SELATAN,0.313
KALIMANTAN TIMUR,0.322
KALIMANTAN UTARA,0.277
SULAWESI UTARA,0.37
SULAWESI TENGAH,0.304
SULAWESI SELATAN,0.377
SULAWESI TENGGARA,0.371
GORONTALO,0.417
SULAWESI BARAT,0.351
MALUKU,0.288
MALUKU UTARA,0.3
PAPUA BARAT,0.37
PAPUA,0.386
INDONESIA,0.388
